Zip,Multiple Counties,County,Rate
45813,*,Paulding,0.0725
45814,,Hancock,0.0675
45815,,Putnam,0.07
45816,,Hancock,0.0675
45817,*,Allen,0.0685
45817,*,Hancock,0.0675
45817,*,Putnam,0.07
45819,,Auglaize,0.0725
45820,,Allen,0.0685
45821,*,Defiance,0.0675
45821,*,Paulding,0.0725
45822,*,Auglaize,0.0725
45822,*,Mercer,0.0725
45826,,Mercer,0.0725
45827,*,Paulding,0.0725
45827,*,Putnam,0.07
45827,*,Van Wert,0.0725
45828,,Mercer,0.0725
45830,*,Allen,0.0685
45830,*,Putnam,0.07
45831,*,Defiance,0.0675
45831,*,Henry,0.0725
45831,*,Paulding,0.0725
45831,*,Putnam,0.07
45832,*,Paulding,0.0725
45832,*,Van Wert,0.0725
45833,*,Allen,0.0685
45833,*,Putnam,0.07
45833,*,Van Wert,0.0725
45835,,Hardin,0.0725
45836,*,Hancock,0.0675
45836,*,Hardin,0.0725
45837,,Putnam,0.07
45838,,Van Wert,0.0725
45839,,Hancock,0.0675
45840,,Hancock,0.0675
45841,,Hancock,0.0675
45843,*,Hancock,0.0675
45843,*,Hardin,0.0725
45843,*,Marion,0.0725
45843,*,Wyandot,0.0725
45844,*,Allen,0.0685
45844,*,Putnam,0.07
45844,*,Van Wert,0.0725
45845,*,Auglaize,0.0725
45845,*,Darke,0.0725
45845,*,Mercer,0.0725
45845,*,Shelby,0.0725
45846,*,Darke,0.0725
45846,*,Mercer,0.0725
45848,,Putnam,0.07
45849,*,Paulding,0.0725
45849,*,Putnam,0.07
45849,*,Van Wert,0.0725
45850,*,Allen,0.0685
45850,*,Auglaize,0.0725
45850,*,Hardin,0.0725
45851,,Paulding,0.0725
45853,,Putnam,0.07
45854,,Allen,0.0685
45855,,Paulding,0.0725
45856,*,Hancock,0.0675
45856,*,Henry,0.0725
45856,*,Putnam,0.07
45858,,Hancock,0.0675
45859,,Hardin,0.0725
45860,*,Darke,0.0725
45860,*,Mercer,0.0725
45861,,Paulding,0.0725
45862,*,Auglaize,0.0725
45862,*,Mercer,0.0725
45863,,Van Wert,0.0725
45864,,Putnam,0.07
45865,*,Auglaize,0.0725
45865,*,Shelby,0.0725
45866,,Mercer,0.0725
45867,*,Hancock,0.0675
45867,*,Wyandot,0.0725
45868,*,Hancock,0.0675
45868,*,Putnam,0.07
45869,*,Auglaize,0.0725
45869,*,Mercer,0.0725
45869,*,Shelby,0.0725
45870,,Auglaize,0.0725
45871,*,Auglaize,0.0725
45871,*,Shelby,0.0725
45872,*,Hancock,0.0675
45872,*,Wood,0.0675
45873,*,Paulding,0.0725
45873,*,Putnam,0.07
45874,,Van Wert,0.0725
45875,*,Hancock,0.0675
45875,*,Putnam,0.07
45876,,Putnam,0.07
45877,*,Allen,0.0685
45877,*,Hancock,0.0675
45877,*,Putnam,0.07
45879,,Paulding,0.0725
45880,*,Defiance,0.0675
45880,*,Paulding,0.0725
45881,,Hancock,0.0675
45882,*,Mercer,0.0725
45882,*,Van Wert,0.0725
45883,*,Darke,0.0725
45883,*,Mercer,0.0725
45884,,Auglaize,0.0725
45885,*,Auglaize,0.0725
45885,*,Mercer,0.0725
45886,*,Paulding,0.0725
45886,*,Van Wert,0.0725
45887,*,Allen,0.0685
45887,*,Auglaize,0.0725
45887,*,Mercer,0.0725
45887,*,Van Wert,0.0725
45888,,Auglaize,0.0725
45889,*,Hancock,0.0675
45889,*,Wood,0.0675
45890,,Hancock,0.0675
45891,,Van Wert,0.0725
45893,,Putnam,0.07
45894,*,Allen,0.0685
45894,*,Mercer,0.0725
45894,*,Van Wert,0.0725
45895,*,Allen,0.0685
45895,*,Auglaize,0.0725
45895,*,Logan,0.0725
45895,*,Shelby,0.0725
45896,*,Allen,0.0685
45896,*,Auglaize,0.0725
45896,*,Hardin,0.0725
45897,,Hancock,0.0675
45898,*,Mercer,0.0725
45898,*,Van Wert,0.0725
45899,,Van Wert,0.0725
